Изображение,Лямбда,Сигма,Метрика 1,Мера Жаккара
banana1-gr-320.jpg,2,60,"0,85","0,62"
banana2-gr-320.jpg,2,60,"0,64","0,32"
,1,20,"0,71","0,41"
banana3-gr-320.jpg,2,60,"0,6","0,32"
book-gr-320.jpg,30,50,"0,71","0,4"
,1,60,"0,76","0,53"
bool-gr-320.jpg,30,50,"0,54","0,27"
,2,50,"0,83","0,32"
bush-gr-320.jpg,30,50,"0,39","0,23"
,2,2,"0,75","0,26"
ceramic-gr-320.jpg,2,60,"0,86","0,71"
cross-gr-320.jpg,2,60,"0,73","0,34"
,2,50,"0,95","0,93"
doll-gr-320.jpg,30,50,"0,54","0,3"
,5,20,"0,48","0,44"
elefant-gr-320.jpg,2,50,"0,9","0,84"
flower-gr-320.jpg,1,60,"0,73","0,64"
,1,2,"0,77","0,61"
fullmoon-gr-320.jpg,2,50,0.98,0.88
grave-gr-320.jpg,30,50,"0,75","0,23"
llama-gr-320.jpg,30,50,"0,64","0,23"
,2,60,"0,77","0,24"
memorial-gr-320.jpg,2,60,"0,71","0,29"
music-gr-320.jpg,1,50,0.85,0.72
,2,50,0.87,0.80
person1-gr-320.jpg,30,50,"0,65","0,28"
,5,20,"0,67","0,46"
person2-gr-320.jpg,2,100,"0,74","0,31"
,2,60,"0,65","0,41"
person3-gr-320.jpg,1,60,"0,89","0,46"
person4-gr-320.jpg,2,60,"0,77","0,18"
,15,50,"0,84","0,14"
,1,15,"0,76","0,21"
person5-gr-320.jpg,30,50,"0,53","0,28"
,2,50,0.86,0.44
person6-gr-320.jpg,30,50,"0,74","0,4"
person7-gr-320.jpg,2,60,"0,65","0,29"
person8-gr-320.jpg,30,50,"0,86","0,54"
scissors-gr-320.jpg,30,50,"0,84","0,71"
,2,60,"0,81","0,5"
sheep-gr-320.jpg,30,50,"0,77","0,31"
,2,45,"0,92","0,41"
stone1-gr-320.jpg,2,60,"0,86","0,56"
,1,20,"0,89","0,64"
stone2-gr-320.jpg,2,60,"0,9","0,69"
teddy-gr-320.jpg,30,50,"0,93","0,87"
tennis-gr-320.jpg,2,50,0.8,0.36
,2,45,"0,82","0,42"